22:43:16.156582 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10260384:10260628, ack 5941, win 1972, options [nop,nop,TS val 3359211460 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.156688 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10260628:10260872, ack 5941, win 1972, options [nop,nop,TS val 3359211460 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.156791 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10260872:10261116, ack 5941, win 1972, options [nop,nop,TS val 3359211460 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.156835 IP 66.11.178.156.52947 > 165.22.226.250.22: Flags [.], ack 10150848, win 65535, options [nop,nop,TS val 484692817 ecr 3359211367], length 0
22:43:16.156982 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10261116:10261512, ack 5941, win 1972, options [nop,nop,TS val 3359211460 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 396
22:43:16.157084 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10261512:10261756, ack 5941, win 1972, options [nop,nop,TS val 3359211460 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.157183 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10261756:10262000, ack 5941, win 1972, options [nop,nop,TS val 3359211460 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.157279 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10262000:10262244, ack 5941, win 1972, options [nop,nop,TS val 3359211460 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.157431 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10262244:10262488, ack 5941, win 1972, options [nop,nop,TS val 3359211461 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.157538 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10262488:10262732, ack 5941, win 1972, options [nop,nop,TS val 3359211461 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.157639 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10262732:10262976, ack 5941, win 1972, options [nop,nop,TS val 3359211461 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.157733 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10262976:10263220, ack 5941, win 1972, options [nop,nop,TS val 3359211461 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.157819 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10263220:10263464, ack 5941, win 1972, options [nop,nop,TS val 3359211461 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.157909 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10263464:10263708, ack 5941, win 1972, options [nop,nop,TS val 3359211461 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
